Nombre,Categoría principal,Descripción,Dirección,Sitio Web,URL Logo,Email
Hospital Veterinari de Catalunya,Clínicas veterinarias,"Hospital de referencia con urgencias 24h, UCI, diagnóstico por imagen avanzado (TAC, RM), cirugía especializada y diversas especialidades médicas para perros y gatos. Ofrecen un servicio completo y avanzado para casos complejos.","C/ de Miquel i Badia, 11, 08024 BCN",hvc.cat,https://hvc.cat/wp-content/uploads/2022/03/Hospital-Veterinadi-de-Catalunya_Logotip-1.png,hvc@hvc.cat
Clínica Veterinària del Mar - Marina,Clínicas veterinarias,"Centro con servicios de medicina general, cirugía, diagnóstico por imagen, laboratorio y hospitalización. Especial interés en medicina preventiva y bienestar animal. Atienden perros, gatos y animales exóticos.","C/ de la Marina, 147, 08013 BCN",veterinariadelmar.com,https://veterinariadelmar.com/wp-content/uploads/2020/12/Logo_Grupo_Pos_CAST-e1608815582314.png,info@veterinariadelmar.com 
Clínica Veterinària del Mar - Sicilia,Clínicas veterinarias,"Centro con servicios de medicina general, cirugía, diagnóstico por imagen, laboratorio y hospitalización. Especial interés en medicina preventiva y bienestar animal. Atienden perros, gatos y animales exóticos.","C/ de Sicília, 125Eixample, 08013 Barcelona
",veterinariadelmar.com,https://veterinariadelmar.com/wp-content/uploads/2020/12/Logo_Grupo_Pos_CAST-e1608815582314.png,cvsicilia@veterinariadelmar.com
Clínica Veterinària Sagrada Família,Clínicas veterinarias,"Servicios completos de veterinaria general, cirugía, hospitalización diurna, laboratorio propio y tienda especializada. Especialistas en dermatología y medicina felina. Buscan un trato personalizado.","C/ de Córsega, 537, BCN",cvsf.es,https://www.cvsf.es/fotos/logo.gif ,general@cvsf.es
Clínica Veterinaria Exòtics,Clínicas veterinarias,"La Clínica veterinaria Sagrada Familia se inauguró el 7 de enero de 1981. La idea era totalmente diferente a lo que hasta entonces había sido la clínica de pequeños animales. La experiencia del servicio de urgencias que se venia realizando desde hacia cinco años movió a sus fundadores a ofrecer por primera vez en nuestro país un servicio las 24 horas los 365 días del año, y así se ha mantenido hasta hoy."," Carrer de la conquista, 74 · 08912 Badalona",zoologic.cat,https://www.zoologic.cat/wp-content/themes/zoologic/images/logo.svg ,veterinaris@zoologic.cat
Hospital Veterinaria Provença,Clínicas veterinarias,"Vetpro nacio con la idea de hacer la vida de su mascota más fácil.
Un equipo de profesionales especializados en las distintas áreas están a su entera disposición, con el objetivo de ofrecer la mayor atención y cubrir cualquier necesidad que se presente durante las 24 horas del día.

En nuestro centro encontrará un servicio global y de calidad para su mascota , así como el instrumental y aparatología necesaria para realizar todo tipo de intervenciones quirúrgicas y diagnóstico, con la finalidad de mejorar la calidad de vida y salud de su mascota.","C/ de Provença, 104, 08029 BCN",veterinaribarcelona.com,https://www.veterinaribarcelona.com/veterinari-barcelona-fotos/veterinari-barcelona.png,info@hospitalvetpro.com
Clínica veterinària Animàlia,Clínicas veterinarias,"Centro dedicado a perros y gatos que ofrece medicina interna, cirugía, odontología, dermatología y diagnóstico por imagen. Disponen de servicio de peluquería y tienda.","C/ de Balmes, 81, 08008 BCN",https://hospitalveterinaribalmes.com/,https://hospitalveterinaribalmes.com/wp-content/uploads/2019/02/logo_balmes-copia-1.png ,hospitalveterinaribalmes@gmail.com
Clínica Veterinària Felina Barcelona (CFB),Clínicas veterinarias,"El CFB es un Hospital 24h de atención exclusiva a los gatos, en el que trabajamos un gran equipo veterinario y de enfermería comprometido y en constante formación  para ofrecer los mejores y más altos standares médicos actuales. Compartimos nuestros conocimientos mediante publicaciones en revistas científicas, dando conferencias en congresos nacionales e internacionales, y con las estancias que realizan con nosotros aquellos profesionales que desean ampliar sus conocimientos y habilidades con los pacientes felinos.","Carrer del Marquès de Campo Sagrado, 12L'Eixample, 08015 Barcelona",clinicafelinabarcelona.cat,https://le-cdn.website-editor.net/s/4ee663447b3d458eb26036ee62e1f8ce/dms3rep/multi/opt/LOGO-1920w.png?Expires=1746536160&Signature=kTTydGoF8sJB1we2jmiIQ0WwKXdg-84diyFTKl8iK0AaPNICHmuBVoM9GVTVyxN696CVCF6kdl2L5mutRH~044v8WG9TclnlIFbe5PUfSSMyGPrdKN7r7PTO5qynetJjEAIqE6H9hlFaTYig07UZD20wTaiVE840xClyvj2nCyxC3NAflmBl9hMdPPxSyqVRbNbvTRNeR3gkIkjZLoYgJMY8EuW1oMGtwfZWA9mKX~TydOM-XTB9jdPaqFYQuQGo2fgP46npee671xRMAr1qjYN7BqxWcKi0UcdWKj30mIPugee6NahzAGUP4LAGBiTu5LrSpQIPa1ScrJ6sxyFu4g__&Key-Pair-Id=K2NXBXLF010TJW ,clinica@clinicafelinabarcelona.cat
Institut Veterinari d'Oftalmologia (IVO) - Barcelona,Clínicas veterinarias,Centro de referencia nacional e internacional especializado exclusivamente en oftalmología veterinaria. Realizan diagnósticos y cirugías oculares complejas en diversas especies.,"C/ de Sant Elies, 21, 08006 BCN",ivoft.com,https://ivoft.com/wp-content/themes/ivo-2018/assets/images/ivo.svg,info@ivoft.com
Institut Veterinari d'Oftalmologia (IVO) - Eivissa,Clínicas veterinarias,Centro de referencia nacional e internacional especializado exclusivamente en oftalmología veterinaria. Realizan diagnósticos y cirugías oculares complejas en diversas especies.,"C/ Jondal 73-75 Bloque 4, Local 8. 07800 Ibiza",ivoft.com,https://ivoft.com/wp-content/themes/ivo-2018/assets/images/ivo.svg,info@ivoft.com
